Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
MBC-USD,MicroBitcoin USD,0.000007,2.55e-06,57.29%,"335,880",0,0,0,47.958B
JRT-USD,Jarvis Network USD,0.011586,-0.000481,-3.99%,"336,064","3,564","3,564","3,564",29.006M
BOX-USD,ContentBox USD,0.000195,4e-06,2.19%,"334,912","102,722","102,722","102,722",1.72B
XMX-USD,XMax USD,0.000012,0.0,-3.45%,"335,810","42,324","42,324","42,324",28.793B
CLAM15233-USD,OtterClam Finance USD,2.6299,-0.2181,-7.66%,"331,586",315,315,315,"126,082"
TXL-USD,Autobahn Network USD,0.004934,0.000381,8.38%,"330,922",263,263,263,67.071M
FXF-USD,Finxflo USD,0.003645,0.00012,3.41%,"330,197","13,653","13,653","13,653",90.582M
SCC3986-USD,StakeCubeCoin USD,0.026828,0.000252,0.95%,"330,098",964,964,964,12.304M
DDOS-USD,disBalancer USD,0.048825,-0.006707,-12.08%,"329,992","12,248","12,248","12,248",6.759M
ASTRO12120-USD,AstroSwap USD,0.00077,-1.3e-05,-1.69%,"330,046","15,983","15,983","15,983",428.463M
XDN-USD,DigitalNote USD,0.000041,-4e-06,-8.40%,"329,593","1,056","1,056","1,056",8.012B
STEP17010-USD,Step® USD,0.000336,-7e-06,-1.99%,"329,480",607,607,607,981.506M
ARES-USD,Ares Protocol USD,0.001423,-3.8e-05,-2.63%,"328,962","14,688","14,688","14,688",231.179M
SAM14020-USD,Samsunspor Fan Token USD,0.755587,-0.053648,-6.63%,"328,192","39,593","39,593","39,593","434,354"
ALL-USD,Alliance Fan Token USD,0.2627,0.008686,3.42%,"334,009","18,475","18,475","18,475",1.271M
APL7638-USD,Apollon Limassol USD,0.990977,-0.065333,-6.18%,"326,338","42,277","42,277","42,277","329,310"
INK-USD,Ink USD,0.000697,-0.000103,-12.88%,"323,362","12,084","12,084","12,084",463.911M
ALBT-USD,AllianceBlock USD,0.001384,-0.000138,-9.05%,"322,485",10.679M,10.679M,10.679M,232.956M
CRX-USD,CryptEx USD,3.7967,-0.0146,-0.38%,"322,721",11,11,11,"85,000"
UCA-USD,UCA Coin USD,0.00014,2.7e-05,24.48%,"322,139",91,91,91,2.308B
NAVI-USD,Atlas Navi USD,0.280907,-0.003644,-1.28%,"325,496","13,914","13,914","13,914",1.159M
HNTR-USD,Hunter Token USD,0.004932,0.0,-0.01%,"321,165","62,914","62,914","62,914",65.125M
WQT-USD,WorkQuest Token USD,0.009157,-0.0005,-5.18%,"340,213","560,472","560,472","560,472",37.151M
JAR-USD,Jarvis+ USD,0.002937,-0.000109,-3.57%,"317,641","72,226","72,226","72,226",108.157M
AIRT-USD,AirNFTs USD,0.002823,-1.1e-05,-0.39%,"316,294",529,529,529,112.04M
SDT8299-USD,Stake DAO USD,0.444953,-0.008132,-1.79%,"315,295","182,944","182,944","182,944","708,604"
MUNT-USD,MUNT USD,0.000558,-2e-06,-0.42%,"314,627",294,294,294,563.635M
WAG-USD,WagyuSwap USD,0.005813,-5.2e-05,-0.89%,"314,866","16,498","16,498","16,498",54.165M
WAB-USD,WABnetwork USD,0.000018,0.0,-1.60%,"312,417",5,5,5,16.995B
FPFT-USD,Peruvian National Football Team Fan Token USD,0.013772,-0.001197,-8.00%,"312,342","29,277","29,277","29,277",22.68M
CREO-USD,Creo Engine USD,0.005255,0.001349,34.53%,"314,795","658,930","658,930","658,930",59.902M
XPC-USD,eXPerience Chain USD,0.00000338,2.2e-07,6.86%,"307,498","110,782","110,782","110,782",91.091B
TERA-USD,TERA USD,0.000363,-2e-06,-0.42%,"306,492",93,93,93,844.711M
NAX-USD,NextDAO USD,0.000121,-5e-06,-4.30%,"305,537","56,788","56,788","56,788",2.519B
VIG-USD,VIG USD,0.000306,-1e-05,-3.18%,"306,154",11,11,11,1B
RVC-USD,Ravencoin Classic USD,0.000025,-2e-06,-8.34%,"304,866","14,363","14,363","14,363",12.405B
YOP-USD,Yield Optimization Platform & Protocol USD,0.015534,-0.000127,-0.81%,"304,770",796,796,796,19.619M
PFL-USD,Professional Fighters League Fan Token USD,0.230188,-0.004394,-1.87%,"304,118","11,182","11,182","11,182",1.321M
XIV-USD,Planet Inverse USD,0.009015,-0.000201,-2.18%,"301,405","754,119","754,119","754,119",33.435M
FTG-USD,OnGo USD,0.002621,-8e-06,-0.31%,"301,299","144,278","144,278","144,278",114.941M
IBP-USD,Innovation Blockchain Payment USD,0.001601,0.0,-0.01%,"300,969","23,287","23,287","23,287",188.009M
CRE8-USD,Creaticles USD,0.003766,0.000479,14.56%,"293,979","280,535","280,535","280,535",78.053M
UGAS-USD,UGAS USD,0.001739,-0.000158,-8.34%,"298,693","84,121","84,121","84,121",171.719M
TOK12302-USD,Tokenplace USD,0.002315,0.00021,9.95%,"298,482","18,487","18,487","18,487",128.946M
CVT-USD,CyberVein USD,0.00028,-9e-06,-3.01%,"297,088","43,775","43,775","43,775",1.06B
MFC16913-USD,Millonarios FC Fan Token USD,0.436966,-0.018316,-4.02%,"295,175","18,676","18,676","18,676","675,511"
SWM-USD,Swarm USD,0.003785,-7e-06,-0.19%,"295,956",657,657,657,78.19M
DNA5234-USD,Metaverse Dualchain Network Architecture USD,0.000015,-1e-06,-3.93%,"296,263","21,938","21,938","21,938",20.144B
MOTA-USD,MotaCoin USD,0.005303,-2.2e-05,-0.42%,"296,052","2,355","2,355","2,355",55.827M
SEED-USD,SeedCoin USD,0.094608,0.0,0.00%,"295,438","29,450","29,450","29,450",3.123M
LEG-USD,Legia Warsaw Fan Token USD,0.434564,0.006441,1.50%,"294,137","17,530","17,530","17,530","676,856"
BRD-USD,Bread USD,0.003303,-0.003134,-48.69%,"293,505",317,317,317,88.863M
FRKT-USD,FRAKT Token USD,0.06194,0.002851,4.82%,"292,810","1,600","1,600","1,600",4.727M
SNB-USD,SynchroBitcoin USD,0.003658,-1e-05,-0.27%,"290,944",6,6,6,79.535M
SFX-USD,Safex Cash USD,0.001296,0.000139,11.98%,"290,944",374,374,374,224.424M
EVED-USD,Evedo USD,0.018979,-0.001481,-7.24%,"278,557","54,978","54,978","54,978",14.677M
PASS-USD,Blockpass USD,0.001735,0.0,0.00%,"290,216",532,532,532,167.224M
DOSE-USD,DOSE USD,0.005556,-2e-06,-0.04%,"288,351",1.011M,1.011M,1.011M,51.903M
FUEL-USD,Etherparty USD,0.000287,-3e-06,-1.19%,"287,394","17,986","17,986","17,986",1B
BCPT-USD,Blockmason Credit Protocol USD,0.002456,0.0,0.00%,"285,234",2,2,2,116.159M
CNB-USD,Coinsbit Token USD,0.000214,-2e-06,-0.79%,"285,189",2,2,2,1.331B
CYMT-USD,CyberMusic USD,0.000018,0.0,-1.60%,"284,942",6,6,6,15.5B
CHRP-USD,Chirpley USD,0.00984,0.002608,36.07%,"283,628",1.524M,1.524M,1.524M,28.825M
OIN-USD,OIN Finance USD,0.008537,0.000706,9.01%,"281,313","13,626","13,626","13,626",32.951M
NRV-USD,Nerve Finance USD,0.006074,0.000645,11.88%,"280,856","125,434","125,434","125,434",46.238M
ZENI-USD,Zennies USD,0.000279,-1e-06,-0.42%,"279,332",13,13,13,1.001B
MANNA-USD,Manna USD,0.000422,-1e-06,-0.22%,"278,956",0,0,0,661.236M
GHNY-USD,Grizzly Honey USD,14.36,0.0,-0.03%,"278,859","28,680","28,680","28,680","19,416"
TANK-USD,CryptoTanks USD,0.005734,-2.3e-05,-0.39%,"278,739","116,884","116,884","116,884",48.61M
DDK-USD,DDKoin USD,0.162871,-0.001283,-0.78%,"278,510",537,537,537,1.71M
BASE-USD,Base Protocol USD,0.577822,0.001003,0.17%,"277,747","17,183","17,183","17,183","480,679"
TIDAL-USD,Tidal Finance USD,0.00032,1.1e-05,3.41%,"277,239","259,178","259,178","259,178",865.226M
GOF-USD,Golff USD,0.027466,-0.002369,-7.94%,"274,637","57,784","57,784","57,784",9.999M
RENDOGE-USD,renDOGE USD,0.089069,0.0,0.00%,"274,664",20,20,20,3.084M
ADC-USD,AudioCoin USD,0.000279,-1e-06,-0.42%,"273,728",9,9,9,980.733M
2CRZ-USD,2crazyNFT USD,0.001782,-4.3e-05,-2.34%,"273,479","70,979","70,979","70,979",153.471M
LFG-USD,Gamerse USD,0.001592,4.4e-05,2.85%,"270,912","22,232","22,232","22,232",170.157M
NCASH-USD,Nitro Network USD,0.000037,0.0,-0.80%,"271,899","134,597","134,597","134,597",7.325B
DHV-USD,DeHive USD,0.066876,0.00489,7.89%,"268,800","17,943","17,943","17,943",4.019M
XPTX-USD,PlatinumBAR USD,0.124202,-0.000523,-0.42%,"268,291",122,122,122,2.16M
TH-USD,Team Heretics Fan Token USD,0.621637,-0.034913,-5.32%,"268,632","26,934","26,934","26,934","432,137"
DVP-USD,Decentralized Vulnerability Platform USD,0.00051,-1e-05,-1.83%,"266,206","75,799","75,799","75,799",522.406M
AMA21168-USD,Mrweb Finance USD,0.008858,-0.000566,-6.01%,"265,738","4,195","4,195","4,195",30M
COR-USD,Coreto USD,0.001163,-2.2e-05,-1.84%,"265,516",36,36,36,228.283M
CNS-USD,Centric Swap USD,0.00000434,-4.1e-07,-8.59%,"265,194","208,627","208,627","208,627",61.099B
TCH3806-USD,TigerCash USD,0.004704,8e-05,1.72%,"263,446","114,791","114,791","114,791",56M
KANGAL-USD,Kangal USD,0.00000261,4e-08,1.69%,"261,486",37,37,37,100B
DNXC-USD,DinoX USD,0.007675,-6.6e-05,-0.85%,"261,034","108,254","108,254","108,254",34.011M
COOK-USD,Cook Finance USD,0.000298,-3e-06,-0.98%,"260,378","64,639","64,639","64,639",873.631M
CAI-USD,Club Atletico Independiente USD,0.312119,-0.008522,-2.66%,"261,607","16,099","16,099","16,099","838,166"
NEXT23148-USD,ShopNEXT USD,0.02858,-0.00079,-2.69%,"259,829","13,812","13,812","13,812",9.091M
PAR-USD,Parallel USD,0.000294,1.4e-05,4.96%,"258,427","93,858","93,858","93,858",878.604M
TRC-USD,Terracoin USD,0.011193,-8.1e-05,-0.72%,"256,718",114,114,114,22.935M
QRT-USD,Qrkita Token USD,0.00000256,-7.2e-07,-22.00%,"256,147","357,070","357,070","357,070",99.966B
RISE-USD,Rise USD,0.001192,0.0,-0.01%,"252,413",0,0,0,211.825M
CANDY11083-USD,TripCandy USD,0.001203,0.0,-0.01%,"251,807",13,13,13,209.383M
FCON-USD,SpaceFalcon USD,0.000094,1e-06,0.77%,"250,914","62,385","62,385","62,385",2.663B
RUFF-USD,Ruff USD,0.000256,-1.4e-05,-5.22%,"250,734","101,126","101,126","101,126",980.5M
S4F-USD,S4FE USD,0.000279,-1e-06,-0.42%,"249,886","4,353","4,353","4,353",895.311M
UTU-USD,UTU Protocol USD,0.002005,-0.000406,-16.84%,"249,539","6,025","6,025","6,025",124.477M
VDL-USD,Vidulum USD,0.014386,-0.000147,-1.01%,"245,580",11,11,11,17.071M
GLS-USD,Golos Blockchain USD,0.00072,0.0,-0.01%,"245,235",2,2,2,340.431M
FINE-USD,Refinable USD,0.005955,-0.000116,-1.90%,"244,528","78,007","78,007","78,007",41.06M
QUIN-USD,QUINADS USD,0.000018,0.0,-1.60%,"244,407",0,0,0,13.295B
EOSDAC-USD,eosDAC USD,0.000367,-5.3e-05,-12.66%,"242,696","12,865","12,865","12,865",660.755M
NIX-USD,NIX USD,0.004904,-7.5e-05,-1.50%,"241,475",10,10,10,49.238M
ARQ-USD,Arqma USD,0.014513,-6.1e-05,-0.42%,"239,679",277,277,277,16.514M
DEM-USD,Deutsche eMark USD,0.004466,-1.9e-05,-0.42%,"239,599",24,24,24,53.654M
PETS-USD,PolkaPets USD,0.00000005,0.0,-0.78%,"239,691",932,932,932,5.007T
MOF-USD,Molecular Future USD,0.00000497,-7e-07,-12.32%,"248,415","149,309","149,309","149,309",50B
LIGHT-USD,Lightning USD,0.003665,0.000214,6.21%,"235,564","2,804","2,804","2,804",64.27M
HBX-USD,HashBX USD,0.000374,1.1e-05,3.03%,"235,234","1,205","1,205","1,205",629.281M
DOWS-USD,Shadows USD,0.008855,-4e-05,-0.45%,"234,646","22,592","22,592","22,592",26.5M
CRW-USD,Crown USD,0.007407,0.00068,10.11%,"233,340",147,147,147,31.504M
MAX-USD,Maxcoin USD,0.003768,0.000965,34.43%,"231,523",15,15,15,61.446M
HUSL11448-USD,The HUSL USD,0.022276,-0.000589,-2.57%,"231,226","4,823","4,823","4,823",10.38M
IPX-USD,Tachyon Protocol USD,0.000866,-1e-05,-1.17%,"230,992","5,296","5,296","5,296",266.859M
ASPO-USD,ASPO World USD,0.002889,0.0,0.01%,"230,928",144,144,144,79.937M
NINO-USD,Ninneko USD,0.003549,0.0,0.00%,"230,348","1,525","1,525","1,525",64.904M
PACOCA-USD,Pacoca USD,0.001868,-2.2e-05,-1.16%,"229,940",873,873,873,123.107M
BAC-USD,Basis Cash USD,0.004216,-0.000342,-7.51%,"230,081","17,697","17,697","17,697",54.575M
HVN-USD,Hiveterminal Token USD,0.000459,-5.5e-05,-10.63%,"229,424",0,0,0,500M
INN-USD,Innova USD,0.03321,-0.005265,-13.68%,"229,207",26,26,26,6.902M
PHR-USD,Phore USD,0.007815,0.003891,99.16%,"229,177",51,51,51,29.325M
GLINT-USD,BeamSwap USD,0.000837,-8e-06,-0.92%,"226,777","242,925","242,925","242,925",271.09M
DPY-USD,Delphy USD,0.003648,3.7e-05,1.04%,"226,883","15,966","15,966","15,966",62.2M
EVX-USD,Everex USD,0.009934,-0.000979,-8.97%,"225,498","5,372","5,372","5,372",22.7M
AC-USD,ACoconut USD,0.084643,0.000895,1.07%,"225,291",105,105,105,2.662M
BATH-USD,Battle Hero USD,0.004509,2e-06,0.05%,"224,440",277,277,277,49.773M
ATP-USD,Atlas Protocol USD,0.000087,0.0,0.28%,"223,383","15,400","15,400","15,400",2.576B
VEIL-USD,Veil USD,0.002591,-8.2e-05,-3.07%,"223,064",609,609,609,86.078M
TRST-USD,WeTrust USD,0.002415,-1.1e-05,-0.46%,"222,574",3,3,3,92.148M
DZG-USD,Dinamo Zagreb Fan Token USD,0.306917,-0.013724,-4.28%,"222,939","11,428","11,428","11,428","726,384"
WNDR-USD,Wonderman Nation USD,0.015613,-1.6e-05,-0.10%,"221,946","12,864","12,864","12,864",14.215M
HYDRO-USD,Hydro USD,0.002017,-5.4e-05,-2.63%,"224,065","4,929","4,929","4,929",111.111M
METAX-USD,MetaverseX USD,0.080541,-0.00173,-2.10%,"221,487","24,856","24,856","24,856",2.75M
TOC-USD,TouchCon USD,0.001397,-2.3e-05,-1.60%,"221,306",977,977,977,158.4M
STX-USD,Stox USD,0.004344,-3.2e-05,-0.74%,"222,143","15,715","15,715","15,715",51.133M
ZNT-USD,Zenswap Network Token USD,0.000018,0.0,-1.60%,"220,625",0,0,0,12.001B
TONS-USD,Thisoption USD,0.040002,0.0,0.00%,"220,591",10,10,10,5.515M
SWT-USD,Swarm City USD,0.025678,-0.014765,-36.51%,"219,186",6,6,6,8.536M
SGT8445-USD,SharedStake USD,1.4801,-0.2162,-12.74%,"222,039","465,380","465,380","465,380","150,014"
BLUE-USD,Blue Protocol USD,0.005962,-6.3e-05,-1.05%,"218,486",0,0,0,36.645M
DATP-USD,Decentralized Asset Trading Platform USD,0.000018,0.0,-1.60%,"217,303",0,0,0,11.821B
APYS-USD,APYSwap USD,0.01176,4e-06,0.03%,"213,930","14,041","14,041","14,041",18.191M
BBP-USD,BiblePay USD,0.000084,-2e-05,-19.26%,"213,765",789,789,789,2.553B
CHEEMS-USD,Cheems USD,0.000084,-5e-06,-5.40%,"213,577","1,712","1,712","1,712",2.551B
BUZZ-USD,BUZZCoin USD,0.000011,0.0,-1.39%,"213,104",10,10,10,20B
RED-USD,RED USD,0.001631,4e-06,0.27%,"212,036","15,908","15,908","15,908",130M
NIOX-USD,Autonio USD,0.002226,0.000325,17.10%,"210,243",116,116,116,94.44M
XST-USD,Stealth USD,0.005303,0.0,-0.01%,"210,146",22,22,22,39.63M
FS-USD,FantomStarter USD,0.002026,-2.5e-05,-1.22%,"209,734","7,446","7,446","7,446",103.506M
SAO-USD,Sator USD,0.003793,3e-05,0.79%,"208,279","74,485","74,485","74,485",54.913M
MDS-USD,MediShares USD,0.00016,4e-06,2.86%,"209,191","16,432","16,432","16,432",1.31B
BIRD-USD,Birdchain USD,0.000743,0.0,-0.01%,"207,949","48,300","48,300","48,300",279.798M
TUBE-USD,BitTube USD,0.000558,-2e-06,-0.42%,"206,876",166,166,166,370.607M
FOUR-USD,4THPILLAR TECHNOLOGIES USD,0.001629,4e-06,0.26%,"206,659",11,11,11,126.901M
ANRX-USD,AnRKey X USD,0.00103,-5.9e-05,-5.44%,"206,026",15,15,15,200M
BEM-USD,BEMIL Coin USD,0.000206,4e-06,1.79%,"205,932","2,078","2,078","2,078",999.981M
UUU-USD,U Network USD,0.00002,0.0,-1.26%,"204,794","209,247","209,247","209,247",9.995B
ANW-USD,Anchor Neural World USD,0.000741,0.0,0.00%,"203,964","879,258","879,258","879,258",275.298M
FTX-USD,FintruX Network USD,0.002143,-1e-05,-0.46%,"203,555",0,0,0,95M
SAKE-USD,SakeToken USD,0.001982,-3e-06,-0.16%,"201,845","54,572","54,572","54,572",101.862M
MAKI-USD,MakiSwap USD,0.002909,-0.000216,-6.92%,"200,669",1.102M,1.102M,1.102M,68.972M
INEX-USD,Inex Project USD,0.000018,0.0,-1.60%,"200,195",13,13,13,10.89B
CORGIB-USD,The Corgi of PolkaBridge USD,0.00000001,0.0,-6.36%,"200,169","6,559","6,559","6,559",28.97T
SOLX-USD,Soldex USD,0.000473,1.5e-05,3.27%,"198,912","89,500","89,500","89,500",420.407M
SNOW-USD,SnowSwap USD,0.402271,0.007486,1.90%,"199,361","16,268","16,268","16,268","495,588"
GARD-USD,Hashgard USD,0.00002,0.0,-0.67%,"198,745","14,746","14,746","14,746",10B
XCN-USD,Cryptonite USD,0.000279,-1e-06,-0.42%,"197,748",7,7,7,708.506M
BTT22259-USD,Bitteam token USD,0.000428,3e-06,0.79%,"197,499","41,412","41,412","41,412",461M
1EARTH-USD,EarthFund USD,0.002708,-6.2e-05,-2.23%,"197,054","286,598","286,598","286,598",72.754M
ROCKI-USD,ROCKI USD,0.024513,-8.9e-05,-0.36%,"197,509","44,829","44,829","44,829",8.057M
COT-USD,CoTrader USD,0.00001,0.0,-0.46%,"195,874",0,0,0,18.887B
BRZE-USD,Breezecoin USD,0.001089,-5e-06,-0.42%,"195,932",71,71,71,180M
DONUT-USD,Donut USD,0.001623,0.0,0.00%,"195,316",449,449,449,120.356M
BLINK7784-USD,BLink USD,0.00106,-1e-06,-0.14%,"195,364",434,434,434,184.347M
CLEG-USD,Chain of Legends USD,0.004833,-8.6e-05,-1.74%,"194,348","7,206","7,206","7,206",40.211M
MAT-USD,My Master War USD,0.003556,-4.1e-05,-1.14%,"193,891","14,350","14,350","14,350",54.528M
RPZX-USD,Rapidz USD,0.000104,0.0,-0.36%,"192,560",7,7,7,1.848B
HTDF-USD,Orient Walt USD,0.002067,0.0,-0.01%,"192,121",900,900,900,92.944M
LEVL-USD,Levolution USD,0.001479,-0.001239,-45.59%,"191,828",0,0,0,129.679M
YETIC-USD,YetiCoin USD,0,0.0,2.36%,"191,560",111,111,111,882.267T
FSW-USD,Falconswap USD,0.005113,0.0,-0.01%,"191,364",3,3,3,37.43M
PXG-USD,PlayGame USD,0.00019,-2e-06,-1.05%,"190,073",242,242,242,999.875M
NETKO-USD,Netko USD,0.011443,-4.8e-05,-0.42%,"189,850",2,2,2,16.591M
KART-USD,Dragon Kart USD,0.004562,0.0,-0.01%,"189,793",46,46,46,41.6M
FORM-USD,Formation Fi USD,0.002371,-0.000107,-4.33%,"189,063","225,048","225,048","225,048",79.753M
SCC-USD,SiaCashCoin USD,0.00000849,0.0,-0.01%,"188,378",0,0,0,22.177B
IF-USD,Impossible Finance USD,0.031367,0.00012,0.38%,"188,225",130,130,130,6.001M
ELAMA-USD,Elamachain USD,0.00021,0.0,-0.01%,"188,067",1,1,1,895.103M
LEAD-USD,Lead Wallet USD,0.000372,5e-06,1.23%,"187,887",159,159,159,505.311M
COSM-USD,Cosmo Coin USD,0.00028,0.0,-0.01%,"187,847",0,0,0,670.781M
FBX18696-USD,Finance Blocks USD,0.022362,0.009418,72.76%,"198,797","533,903","533,903","533,903",8.89M
TELOS-USD,Teloscoin USD,0.001116,-0.000117,-9.47%,"186,888",88,88,88,167.4M
DOS-USD,DOS Network USD,0.00137,-0.00015,-9.84%,"186,291","18,411","18,411","18,411",135.939M
VISION18330-USD,VisionGame USD,0.003452,-4.6e-05,-1.30%,"184,382","617,690","617,690","617,690",53.416M
SIN-USD,SINOVATE USD,0.000279,-0.000281,-50.21%,"185,247",7,7,7,663.717M
LTHN-USD,Lethean USD,0.000233,-2e-06,-0.66%,"185,170",9,9,9,795.787M
ETGP-USD,Ethereum Gold Project USD,0.000031,0.0,1.45%,"185,193",72,72,72,5.93B
MODX-USD,MODEL-X-coin USD,0.015351,-6.5e-05,-0.42%,"184,989",1,1,1,12.051M
SYP-USD,Sypool USD,0.002829,0.001086,62.33%,"184,933","523,031","523,031","523,031",65.365M
CAPP-USD,Cappasity USD,0.000278,-3e-06,-1.01%,"184,680","51,872","51,872","51,872",663.271M
DINO10777-USD,DinoSwap USD,0.001187,1.1e-05,0.90%,"184,468","17,672","17,672","17,672",155.456M
CREDIT-USD,CREDIT USD,0.000076,1.1e-05,16.90%,"183,632","1,175","1,175","1,175",2.425B
FREED-USD,FreedomCoin USD,0.027687,0.000334,1.22%,"182,857",139,139,139,6.604M
RXS-USD,Rune Shards USD,0.001006,-1e-06,-0.10%,"182,330",16,16,16,181.305M
PCNT-USD,Playcent USD,0.004971,-0.000283,-5.38%,"182,157","14,782","14,782","14,782",36.645M
CYCLUB-USD,Cyclub USD,0.000139,0.0,-0.03%,"182,162",61,61,61,1.314B
ALN-USD,Aluna.Social USD,0.0048,-0.000332,-6.46%,"181,045","22,465","22,465","22,465",37.717M
N1-USD,NFTify USD,0.008907,-0.000103,-1.14%,"181,362",9,9,9,20.362M
GSTS-USD,Gunstar Metaverse USD,0.005784,-0.000219,-3.64%,"180,977","3,281","3,281","3,281",31.29M
MOTO-USD,Motocoin USD,0.00921,-3.9e-05,-0.42%,"180,918",13,13,13,19.643M
TSX-USD,TradeStars USD,0.013245,-4.6e-05,-0.35%,"179,449","4,226","4,226","4,226",13.549M
SILVA-USD,Silva Token USD,0,0.0,-3.37%,"178,972",27,27,27,"1,669.961T"
PWR-USD,CrazyMiner USD,0.000018,0.0,-1.60%,"177,666",0,0,0,9.665B
YOC-USD,Yocoin USD,0.000475,5.7e-05,13.64%,"175,657","86,500","86,500","86,500",369.659M
NRP-USD,Neural Protocol USD,0.000018,0.0,-1.60%,"174,605",34,34,34,9.498B
CVR-USD,CoverCompared USD,0.001711,1e-05,0.58%,"172,778","115,825","115,825","115,825",100.988M
XLAB-USD,XcelToken Plus USD,0.00000533,2.13e-06,66.35%,"170,497","1,451","1,451","1,451",32B
BITG-USD,Bitcoin Green USD,0.014129,-0.001524,-9.73%,"168,714",596,596,596,11.941M
MPAY-USD,MenaPay USD,0.001256,-3.3e-05,-2.58%,"168,474",0,0,0,134.138M
WPR-USD,WePower USD,0.000244,-0.000122,-33.33%,"168,329",1,1,1,688.809M
IDEA-USD,Ideaology USD,0.010226,-0.000682,-6.26%,"166,538","437,477","437,477","437,477",16.286M
TROLL-USD,Trollcoin USD,0.000279,-1e-06,-0.42%,"165,456",9,9,9,592.81M
VIT-USD,Team Vitality Fan Token USD,0.206779,0.005511,2.74%,"167,532","8,057","8,057","8,057","810,204"
GRFT-USD,Graft USD,0.000279,-1e-06,-0.42%,"165,085",8,8,8,591.482M
DRT-USD,DomRaider USD,0.000279,-1e-06,-0.42%,"165,090",3,3,3,591.5M
FIN-USD,DeFiner USD,0.00104,-6.2e-05,-5.62%,"164,672","11,716","11,716","11,716",158.365M
A-USD,Alpha Token USD,0.004721,-3.5e-05,-0.73%,"163,951",6,6,6,34.732M
NOV-USD,Novara Calcio Fan Token USD,0.464277,-0.032647,-6.57%,"163,771","19,651","19,651","19,651","352,746"
ETHA-USD,ETHA Lend USD,0.017389,-0.000959,-5.23%,"162,752","307,708","307,708","307,708",9.359M
NYZO-USD,Nyzo USD,0.013699,-0.000645,-4.49%,"163,291","14,049","14,049","14,049",11.92M
ARCO-USD,AquariusCoin USD,0.03862,-9.2e-05,-0.24%,"162,866",0,0,0,4.217M
GCOIN-USD,Galaxy Fight Club USD,0.011255,-0.00054,-4.58%,"161,892","13,551","13,551","13,551",14.384M
ZER-USD,Zero USD,0.012771,0.001279,11.13%,"161,655",7,7,7,12.658M
ELMON-USD,Elemon USD,0.001715,1.3e-05,0.74%,"161,644","1,892","1,892","1,892",94.275M
CHICKS-USD,SolChicks Token USD,0.000253,0.0,-0.16%,"161,515",151,151,151,639.107M
BLU-USD,BlueCoin USD,0.000279,-1e-06,-0.42%,"160,397",3,3,3,574.684M
UBEX-USD,Ubex USD,0.000048,0.0,-0.22%,"159,604",78,78,78,3.306B
ORION-USD,Orion Money USD,0.001668,8e-06,0.46%,"158,499","12,758","12,758","12,758",95.001M
BDP-USD,BidiPass USD,0.000409,-1e-06,-0.29%,"158,198",195,195,195,386.631M
ARGON-USD,Argon USD,0.001583,1.9e-05,1.23%,"157,739","174,139","174,139","174,139",99.622M
TIK-USD,ChronoBase USD,0.393448,-0.004219,-1.06%,"157,584",0,0,0,"400,522"
SPWN-USD,Bitspawn USD,0.000304,-0.000159,-34.42%,"156,132","1,259","1,259","1,259",514.119M
BNU-USD,ByteNext USD,0.009047,-0.002469,-21.44%,"156,054","8,779","8,779","8,779",17.25M
ACM-USD,Actinium USD,0.003349,-1.4e-05,-0.42%,"154,358",44,44,44,46.087M
BITB-USD,Bean Cash USD,0.000029,4e-06,16.65%,"153,645",4,4,4,5.279B
BITS-USD,Bitstar USD,0.007257,-3.1e-05,-0.42%,"153,444",2,2,2,21.145M
VSO-USD,Verso USD,0.001928,0.000334,20.98%,"152,879","33,352","33,352","33,352",79.279M
BANCA-USD,Banca USD,0.0000085,0.0,0.00%,"152,329","9,078","9,078","9,078",17.926B
IND-USD,Indorse Token USD,0.004063,-1.8e-05,-0.44%,"152,268",208,208,208,37.48M
TIP13138-USD,SugarBounce USD,0.010786,0.000101,0.95%,"151,301","105,085","105,085","105,085",14.028M
WSPP-USD,Wolf Safe Poor People USD,0,0.0,-8.09%,"150,920","1,266","1,266","1,266","13,503.301T"
LEPA-USD,Lepasa USD,0.023944,0.0,0.00%,"150,798",335,335,335,6.298M
HAVY-USD,Havy USD,0.000018,0.0,-1.60%,"150,743",65,65,65,8.2B
SHND-USD,StrongHands USD,0.0000082,2e-07,2.49%,"150,337",2,2,2,18.324B
